NAICS,NAICS description,Size class,No. firms,No. establishments,No. employees,Total payroll,Total receipts
611710,Educational Support Services,20 to 99,474,646,19009,770023,2538040
611710,Educational Support Services,100 to 499,126,228,18467,810026,2507383
611710,Educational Support Services,more than 500,75,614,39825,1754642,5537853
611710,Educational Support Services,total,6338,7188,94659,4066138,13129872
622110,General Medical and Surgical Hospitals,fewer than 20,52,52,175,150173,663091
622110,General Medical and Surgical Hospitals,20 to 99,217,225,15152,629404,1726647
622110,General Medical and Surgical Hospitals,100 to 499,1147,1197,271564,11573634,30646553
622110,General Medical and Surgical Hospitals,more than 500,1488,3807,5039700,284379773,793618622
622110,General Medical and Surgical Hospitals,total,2904,5281,5326591,296732984,826654913
622210,Psychiatric and Substance Abuse Hospitals,fewer than 20,11,11,0,0,0
622210,Psychiatric and Substance Abuse Hospitals,20 to 99,27,27,1607,60675,138846
622210,Psychiatric and Substance Abuse Hospitals,100 to 499,177,189,46962,2251593,4206487
622210,Psychiatric and Substance Abuse Hospitals,more than 500,196,357,170863,8281843,15387599
622210,Psychiatric and Substance Abuse Hospitals,total,411,584,219460,10595748,19923881
622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,fewer than 20,24,24,35,56778,184966
622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,20 to 99,40,40,2620,108076,302834
622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,100 to 499,111,116,23663,1058115,2614220
622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,more than 500,198,696,233347,13187321,33393879
622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,total,373,876,259665,14410290,36495899
623110,Nursing Care Facilities (Skilled Nursing Facilities),fewer than 20,1849,1857,8338,444962,1174037
623110,Nursing Care Facilities (Skilled Nursing Facilities),20 to 99,2599,2692,165464,4028097,9099611
623110,Nursing Care Facilities (Skilled Nursing Facilities),100 to 499,3436,4062,593593,16493837,37460950
623110,Nursing Care Facilities (Skilled Nursing Facilities),more than 500,739,8238,936733,27166711,63512838
623110,Nursing Care Facilities (Skilled Nursing Facilities),total,8623,16849,1704128,48133607,111247436
623210,Residential Intellectual and Developmental Disability Facilities,fewer than 20,3203,3249,19844,390421,991343
623210,Residential Intellectual and Developmental Disability Facilities,20 to 99,1365,2949,59548,1229301,2432538
623210,Residential Intellectual and Developmental Disability Facilities,100 to 499,1241,10403,182726,3987282,7540876
623210,Residential Intellectual and Developmental Disability Facilities,more than 500,416,11994,233347,5267610,10034806
623210,Residential Intellectual and Developmental Disability Facilities,total,6225,28595,495465,10874614,20999563
623220,Residential Mental Health and Substance Abuse Facilities,fewer than 20,1611,1639,10078,249755,683647
623220,Residential Mental Health and Substance Abuse Facilities,20 to 99,961,1543,37470,1050660,2408590
623220,Residential Mental Health and Substance Abuse Facilities,100 to 499,729,2355,62988,1828664,3923374
623220,Residential Mental Health and Substance Abuse Facilities,more than 500,264,1737,57924,1711544,3858431
623220,Residential Mental Health and Substance Abuse Facilities,total,3565,7274,168460,4840623,10874042
623311,Continuing Care Retirement Communities,fewer than 20,1187,1189,8356,185324,472329
623311,Continuing Care Retirement Communities,20 to 99,1158,1195,55250,1126695,2866468
623311,Continuing Care Retirement Communities,100 to 499,825,1054,161507,4115121,10579915
623311,Continuing Care Retirement Communities,more than 500,321,1341,190042,4991491,12914698
623311,Continuing Care Retirement Communities,total,3491,4779,415155,10418631,26833410
623312,Assisted Living Facilities for the Elderly,fewer than 20,9466,9539,50200,968927,2869551
623312,Assisted Living Facilities for the Elderly,20 to 99,2502,2799,98564,1857629,4924839
623312,Assisted Living Facilities for the Elderly,100 to 499,528,1345,55990,1131755,2977051
623312,Assisted Living Facilities for the Elderly,more than 500,355,4007,197253,4345998,13050098
623312,Assisted Living Facilities for the Elderly,total,12851,17690,402007,8304309,23821539
623990,Other Residential Care Facilities,fewer than 20,1715,1736,11370,246073,582998
623990,Other Residential Care Facilities,20 to 99,803,1171,31617,829236,1796623
623990,Other Residential Care Facilities,100 to 499,438,1300,51246,1532548,3089177
623990,Other Residential Care Facilities,more than 500,166,901,33786,1052609,2400655
623990,Other Residential Care Facilities,total,3122,5108,128019,3660466,7869453
624110,Child and Youth Services,fewer than 20,6087,6128,28739,829785,2406590
624110,Child and Youth Services,20 to 99,1245,1789,47397,1317218,3280504
624110,Child and Youth Services,100 to 499,550,1589,51706,1559651,3780566
624110,Child and Youth Services,more than 500,225,1235,42507,1144356,2476191
624110,Child and Youth Services,total,8107,10741,170349,4851010,11943851
624120,Services for the Elderly and Persons with Disabilities,fewer than 20,13630,13718,62099,1331011,3200864
624120,Services for the Elderly and Persons with Disabilities,20 to 99,4879,5788,217969,3885841,7764889
624120,Services for the Elderly and Persons with Disabilities,100 to 499,2305,4593,322607,5872112,14419102
624120,Services for the Elderly and Persons with Disabilities,more than 500,673,3207,309029,5184671,9473687
624120,Services for the Elderly and Persons with Disabilities,total,21487,27306,911704,16273635,34858542
624190,Other Individual and Family Services,fewer than 20,15871,16049,65188,1859036,5305055
624190,Other Individual and Family Services,20 to 99,2363,3895,87064,2564340,6641888
624190,Other Individual and Family Services,100 to 499,1298,4528,138130,3715906,9730644
624190,Other Individual and Family Services,more than 500,415,2782,97441,2456259,6142389
624190,Other Individual and Family Services,total,19947,27254,387823,10595541,27819976
624210,Community Food Services,fewer than 20,2562,2594,11527,251797,1703212
624210,Community Food Services,20 to 99,480,1152,16579,463416,4133323
624210,Community Food Services,100 to 499,198,761,9779,258559,2670909
624210,Community Food Services,more than 500,57,163,3370,74963,205495
624210,Community Food Services,total,3297,4670,41255,1048735,8712939
624221,Temporary Shelters,fewer than 20,1809,1818,13916,333939,807241
624221,Temporary Shelters,20 to 99,951,1280,30695,810842,1900719
624221,Temporary Shelters,100 to 499,302,591,15243,423955,1156670
624221,Temporary Shelters,more than 500,106,309,9148,279936,666478
624221,Temporary Shelters,total,3168,3998,69002,1848672,4531108
624229,Other Community Housing Services,fewer than 20,2686,2705,15029,490911,2092573
624229,Other Community Housing Services,20 to 99,600,857,18459,639739,2251036
624229,Other Community Housing Services,100 to 499,341,704,13862,444315,1954197
624229,Other Community Housing Services,more than 500,126,393,7400,206723,725374
624229,Other Community Housing Services,total,3753,4659,54750,1781688,7023180
624230,Emergency and Other Relief Services,fewer than 20,608,618,2583,74131,687112
624230,Emergency and Other Relief Services,20 to 99,101,132,3834,106986,1158453
624230,Emergency and Other Relief Services,100 to 499,63,125,6329,210974,3213097
624230,Emergency and Other Relief Services,more than 500,24,542,0,0,0
624230,Emergency and Other Relief Services,total,796,1417,23179,820160,7834082
624310,Vocational Rehabilitation Services,fewer than 20,1870,1915,9249,310579,765584
624310,Vocational Rehabilitation Services,20 to 99,964,1445,41997,867401,2138138
624310,Vocational Rehabilitation Services,100 to 499,1056,2354,130421,2088395,4316110
624310,Vocational Rehabilitation Services,more than 500,374,2144,140775,2496664,5269623
624310,Vocational Rehabilitation Services,total,4264,7858,322442,5763039,12489455
624410,Child Day Care Services,fewer than 20,49076,49361,293373,4578596,9703512
624410,Child Day Care Services,20 to 99,9563,12545,312776,5740861,11294194
624410,Child Day Care Services,100 to 499,1098,6529,122649,2603973,5545632
624410,Child Day Care Services,more than 500,287,6994,132238,2796986,5597381
624410,Child Day Care Services,total,60024,75429,861036,15720416,32140719
711110,Theater Companies and Dinner Theaters,fewer than 20,2483,2488,9747,343026,1204311
711110,Theater Companies and Dinner Theaters,20 to 99,501,544,21577,578236,2057930
711110,Theater Companies and Dinner Theaters,100 to 499,130,158,23111,637511,1789215
711110,Theater Companies and Dinner Theaters,more than 500,27,70,0,0,0
711110,Theater Companies and Dinner Theaters,total,3141,3260,65728,2021807,6992796
711120,Dance Companies,fewer than 20,485,485,2048,43420,156449
711120,Dance Companies,20 to 99,61,62,2551,64708,183790
711120,Dance Companies,100 to 499,17,18,3067,93416,227450
711120,Dance Companies,more than 500,3,3,0,0,0
711120,Dance Companies,total,566,568,8709,238522,648562
711130,Musical Groups and Artists,fewer than 20,4144,4150,11768,722095,2804998
711130,Musical Groups and Artists,20 to 99,202,210,9208,273717,772831
711130,Musical Groups and Artists,100 to 499,76,77,13175,470265,1025029
711130,Musical Groups and Artists,more than 500,5,6,0,0,0
711130,Musical Groups and Artists,total,4427,4443,36618,1609512,4949464
711190,Other Performing Arts Companies,fewer than 20,343,344,1021,58891,221882
711190,Other Performing Arts Companies,20 to 99,26,26,1008,22610,90944
711190,Other Performing Arts Companies,100 to 499,6,6,1199,26453,81179
711190,Other Performing Arts Companies,more than 500,3,5,0,0,0
711190,Other Performing Arts Companies,total,378,381,6010,227894,1232815
711211,Sports Teams and Clubs,fewer than 20,630,630,2489,109589,389369
711211,Sports Teams and Clubs,20 to 99,159,164,6201,422246,927345
711211,Sports Teams and Clubs,100 to 499,85,108,19621,7238560,10854332
711211,Sports Teams and Clubs,more than 500,59,96,31682,6788738,10284590
711211,Sports Teams and Clubs,total,933,998,59993,14559133,22455636
711212,Racetracks,fewer than 20,494,497,1517,50911,297207
711212,Racetracks,20 to 99,63,69,2730,76001,414175
711212,Racetracks,100 to 499,40,43,8211,218526,862958
711212,Racetracks,more than 500,34,94,35083,1079195,6942889
711212,Racetracks,total,631,703,47541,1424633,8517229
711219,Other Spectator Sports,fewer than 20,2370,2381,7180,366232,1512555
711219,Other Spectator Sports,20 to 99,141,154,5095,211988,675793
711219,Other Spectator Sports,100 to 499,19,23,2354,243974,698713
711219,Other Spectator Sports,more than 500,7,8,1148,98425,456236
711219,Other Spectator Sports,total,2537,2566,15777,920619,3343297
711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",fewer than 20,2033,2035,8426,258134,1298506
711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",20 to 99,335,338,13651,315371,1379332
711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",100 to 499,111,148,21584,458450,2046114
711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",more than 500,68,256,68609,1088239,4993401
711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",total,2547,2777,112270,2120194,9717353
711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities",fewer than 20,3838,3843,10529,517186,3336801
711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities",20 to 99,181,205,6457,267303,1610031
711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities",100 to 499,32,40,5465,197954,1197322
711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities",more than 500,26,64,4974,256828,2796133
711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities",total,4077,4152,27425,1239271,8940287
711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",fewer than 20,3505,3518,8422,835097,2929097
711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",20 to 99,91,120,3240,356186,831630
711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",100 to 499,15,45,2592,340748,597238
711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",more than 500,11,101,3294,487966,1485105
711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",total,3622,3784,17548,2019997,5843070
712110,Museums,fewer than 20,4139,4162,17214,421816,1508962
712110,Museums,20 to 99,569,620,23139,661633,2152415
712110,Museums,100 to 499,174,218,29752,972407,3298496
712110,Museums,more than 500,33,65,16536,644873,2161618
712110,Museums,total,4915,5065,86641,2700729,9121491
712120,Historical Sites,fewer than 20,847,861,3021,77794,241169
712120,Historical Sites,20 to 99,96,115,3374,83676,231596
712120,Historical Sites,100 to 499,21,91,3654,104074,310467
712120,Historical Sites,more than 500,2,14,0,0,0
712120,Historical Sites,total,966,1081,11066,295182,858691
712130,Zoos and Botanical Gardens,fewer than 20,362,362,2061,56972,204691
712130,Zoos and Botanical Gardens,20 to 99,138,142,5589,155092,441858
712130,Zoos and Botanical Gardens,100 to 499,71,78,14863,486554,1447847
712130,Zoos and Botanical Gardens,more than 500,16,26,10440,301439,1035143
712130,Zoos and Botanical Gardens,total,587,608,32953,1000057,3129539
712190,Nature Parks and Other Similar Institutions,fewer than 20,472,475,2306,70344,301874
712190,Nature Parks and Other Similar Institutions,20 to 99,69,100,2620,72048,222980
712190,Nature Parks and Other Similar Institutions,100 to 499,13,14,960,35814,99872
712190,Nature Parks and Other Similar Institutions,more than 500,7,92,0,0,0
712190,Nature Parks and Other Similar Institutions,total,561,681,6745,212217,734302
713110,Amusement and Theme Parks,fewer than 20,273,273,1093,66315,247104
713110,Amusement and Theme Parks,20 to 99,74,81,3174,112070,347409
713110,Amusement and Theme Parks,100 to 499,34,39,6429,178379,591585
713110,Amusement and Theme Parks,more than 500,16,90,115201,2594505,11182504
713110,Amusement and Theme Parks,total,397,483,125897,2951269,12368602
713120,Amusement Arcades,fewer than 20,2098,2108,10624,165281,676362
713120,Amusement Arcades,20 to 99,504,541,18812,205104,694199
713120,Amusement Arcades,100 to 499,41,171,6313,78613,279240
713120,Amusement Arcades,more than 500,12,133,0,0,0
713120,Amusement Arcades,total,2655,2953,38744,499850,1924090
713210,Casinos (except Casino Hotels),fewer than 20,114,114,673,63843,318889
713210,Casinos (except Casino Hotels),20 to 99,84,95,4459,125855,691380
713210,Casinos (except Casino Hotels),100 to 499,119,168,26516,715646,2826607
713210,Casinos (except Casino Hotels),more than 500,67,130,72638,2388572,12520616
713210,Casinos (except Casino Hotels),total,384,507,104286,3293916,16357492
713290,Other Gambling Industries,fewer than 20,1333,1386,8093,146583,1220610
713290,Other Gambling Industries,20 to 99,223,326,8006,164526,1144422
713290,Other Gambling Industries,100 to 499,80,304,13463,416049,2653721
713290,Other Gambling Industries,more than 500,42,463,21986,643123,3934882
713290,Other Gambling Industries,total,1678,2479,51548,1370281,8953635
713910,Golf Courses and Country Clubs,fewer than 20,6797,6829,39514,1197745,3469749
713910,Golf Courses and Country Clubs,20 to 99,3238,3338,147168,3819797,9360183
713910,Golf Courses and Country Clubs,100 to 499,562,761,78976,2237921,5424404
713910,Golf Courses and Country Clubs,more than 500,101,700,41702,954430,2597380
713910,Golf Courses and Country Clubs,total,10698,11628,307360,8209893,20851716
713920,Skiing Facilities,fewer than 20,142,142,852,17063,59790
713920,Skiing Facilities,20 to 99,73,74,3447,28366,74112
713920,Skiing Facilities,100 to 499,89,90,19731,150853,437530
713920,Skiing Facilities,more than 500,43,71,50216,502289,1613213
713920,Skiing Facilities,total,347,377,74246,698571,2184645
713930,Marinas,fewer than 20,3277,3299,13326,494226,2311519
713930,Marinas,20 to 99,259,307,8674,287703,1027305
713930,Marinas,100 to 499,44,146,3290,116315,438440
713930,Marinas,more than 500,19,30,0,14896,67156
713930,Marinas,total,3599,3782,25764,913140,3844420
713940,Fitness and Recreational Sports Centers,fewer than 20,20440,20522,90176,1376555,5009915
713940,Fitness and Recreational Sports Centers,20 to 99,3321,3653,130519,1589567,4527932
713940,Fitness and Recreational Sports Centers,100 to 499,738,1406,121104,1547773,3955029
713940,Fitness and Recreational Sports Centers,more than 500,276,3930,239618,3319511,10341236
713940,Fitness and Recreational Sports Centers,total,24775,29511,581417,7833406,23834112
713950,Bowling Centers,fewer than 20,2469,2473,18585,225102,789367
713950,Bowling Centers,20 to 99,946,1046,32447,429915,1302930
713950,Bowling Centers,100 to 499,42,93,4999,76203,240419
713950,Bowling Centers,more than 500,13,449,13905,203284,713018
713950,Bowling Centers,total,3470,4061,69936,934504,3045734
713990,All Other Amusement and Recreation Industries,fewer than 20,13828,13883,46964,1188378,5095724
713990,All Other Amusement and Recreation Industries,20 to 99,1058,1281,35752,656124,2263060
713990,All Other Amusement and Recreation Industries,100 to 499,159,396,12221,246001,820763
713990,All Other Amusement and Recreation Industries,more than 500,79,216,5847,113888,321691
713990,All Other Amusement and Recreation Industries,total,15124,15776,100784,2204391,8501238
721110,Hotels (except Casino Hotels) and Motels,fewer than 20,29001,29258,187168,3348172,16554592
721110,Hotels (except Casino Hotels) and Motels,20 to 99,8141,9030,285029,5214590,21520864
721110,Hotels (except Casino Hotels) and Motels,100 to 499,1211,2569,214573,5153944,17000845
721110,Hotels (except Casino Hotels) and Motels,more than 500,410,8977,767042,22091429,81811031
721110,Hotels (except Casino Hotels) and Motels,total,38763,49834,1453812,35808135,136887332
721120,Casino Hotels,fewer than 20,29,29,155,18080,106469
721120,Casino Hotels,20 to 99,19,19,981,29271,131536
721120,Casino Hotels,100 to 499,67,72,18084,439670,2202110
721120,Casino Hotels,more than 500,137,272,390348,12626275,48564619
721120,Casino Hotels,total,252,392,409568,13113296,51004734
721191,Bed-and-Breakfast Inns,fewer than 20,2792,2812,9427,170935,755725
721191,Bed-and-Breakfast Inns,20 to 99,129,140,3889,70977,209250
721191,Bed-and-Breakfast Inns,100 to 499,9,28,540,10598,45018
721191,Bed-and-Breakfast Inns,more than 500,2,2,0,0,0
721191,Bed-and-Breakfast Inns,total,2932,2982,13869,252723,1010784
721199,All Other Traveler Accommodation,fewer than 20,1231,1235,3371,92458,430845
721199,All Other Traveler Accommodation,20 to 99,51,65,1914,42963,146857
721199,All Other Traveler Accommodation,100 to 499,9,22,0,0,0
721199,All Other Traveler Accommodation,more than 500,10,29,0,0,0
721199,All Other Traveler Accommodation,total,1301,1351,6539,162494,691462
721211,RV (Recreational Vehicle) Parks and Campgrounds,fewer than 20,3963,3982,11137,305370,1532735
721211,RV (Recreational Vehicle) Parks and Campgrounds,20 to 99,136,203,4025,96457,386785
721211,RV (Recreational Vehicle) Parks and Campgrounds,100 to 499,36,90,2214,53365,233383
721211,RV (Recreational Vehicle) Parks and Campgrounds,more than 500,13,128,1978,46336,201302
721211,RV (Recreational Vehicle) Parks and Campgrounds,total,4148,4403,19354,501528,2354205
721214,Recreational and Vacation Camps (except Campgrounds),fewer than 20,2211,2259,8342,376279,1391042
721214,Recreational and Vacation Camps (except Campgrounds),20 to 99,302,458,6882,197899,593900
721214,Recreational and Vacation Camps (except Campgrounds),100 to 499,92,172,2798,73788,243575
721214,Recreational and Vacation Camps (except Campgrounds),more than 500,70,109,2988,74698,242909
721214,Recreational and Vacation Camps (except Campgrounds),total,2675,2998,21010,722664,2471426
721310,Rooming and Boarding Houses,fewer than 20,2064,2093,8120,129615,823700
721310,Rooming and Boarding Houses,20 to 99,54,63,1586,35928,168317
721310,Rooming and Boarding Houses,100 to 499,20,91,1881,44404,166464
721310,Rooming and Boarding Houses,more than 500,11,38,0,0,0
721310,Rooming and Boarding Houses,total,2149,2285,12458,229342,1254721
722310,Food Service Contractors,fewer than 20,2335,2387,9342,213804,976851
722310,Food Service Contractors,20 to 99,398,681,14315,299507,1029775
722310,Food Service Contractors,100 to 499,171,1333,26864,542189,1654264
722310,Food Service Contractors,more than 500,115,21495,0,9855081,35177693
722310,Food Service Contractors,total,3019,25896,537742,10910581,38838583
722320,Caterers,fewer than 20,8111,8131,36026,654270,2699362
722320,Caterers,20 to 99,1559,1644,57781,987919,2934637
722320,Caterers,100 to 499,218,306,26007,529613,1530280
722320,Caterers,more than 500,53,115,8567,186437,494374
722320,Caterers,total,9941,10196,128381,2358239,7658653
722330,Mobile Food Services,fewer than 20,2786,2815,5416,98792,543975
722330,Mobile Food Services,20 to 99,72,87,2075,34448,133068
722330,Mobile Food Services,100 to 499,9,13,702,11694,37946
722330,Mobile Food Services,more than 500,4,6,0,0,0
722330,Mobile Food Services,total,2871,2921,8208,145242,715866
722410,Drinking Places (Alcoholic Beverages),fewer than 20,37045,37151,178231,2329667,10819983
722410,Drinking Places (Alcoholic Beverages),20 to 99,3844,4027,133967,2079145,6559641
722410,Drinking Places (Alcoholic Beverages),100 to 499,207,476,24512,459909,1556426
722410,Drinking Places (Alcoholic Beverages),more than 500,50,389,13044,252590,1001097
722410,Drinking Places (Alcoholic Beverages),total,41146,42043,349754,5121311,19937147
722511,Full-Service Restaurants,fewer than 20,147648,147907,955036,15466632,56010900
722511,Full-Service Restaurants,20 to 99,48792,51085,1807347,30069334,78584465
722511,Full-Service Restaurants,100 to 499,2768,6922,415678,7330175,19749313
722511,Full-Service Restaurants,more than 500,664,25797,1596150,25611037,70548920
722511,Full-Service Restaurants,total,199872,231711,4774211,78477178,224893598
722513,Limited-Service Restaurants,fewer than 20,114650,115487,647308,8875433,39629196
722513,Limited-Service Restaurants,20 to 99,24310,35228,898036,11316492,42527339
722513,Limited-Service Restaurants,100 to 499,4048,26462,762977,9540754,37809281
722513,Limited-Service Restaurants,more than 500,941,47700,1280125,16766179,66926432
722513,Limited-Service Restaurants,total,143949,224877,3588446,46498858,186892248
722514,"Cafeterias, Grill Buffets, and Buffets",fewer than 20,4067,4071,22719,336955,1616943
722514,"Cafeterias, Grill Buffets, and Buffets",20 to 99,794,879,31060,418015,1467082
722514,"Cafeterias, Grill Buffets, and Buffets",100 to 499,92,276,11717,144323,534916
722514,"Cafeterias, Grill Buffets, and Buffets",more than 500,46,1144,56202,742209,2765917
722514,"Cafeterias, Grill Buffets, and Buffets",total,4999,6370,121698,1641502,6384858
722515,Snack and Nonalcoholic Beverage Bars,fewer than 20,35333,35889,186576,2274971,9572842
722515,Snack and Nonalcoholic Beverage Bars,20 to 99,3664,6028,115847,1513743,5383604
722515,Snack and Nonalcoholic Beverage Bars,100 to 499,282,1820,36255,509235,1993157
722515,Snack and Nonalcoholic Beverage Bars,more than 500,91,10761,201546,3323755,14281219
722515,Snack and Nonalcoholic Beverage Bars,total,39370,54498,540224,7621704,31230822
813110,Religious Organizations,fewer than 20,165901,165909,751501,12845092,50356894
813110,Religious Organizations,20 to 99,15694,15755,595511,11554113,45027590
813110,Religious Organizations,100 to 499,1375,1457,225360,5230927,20534997
813110,Religious Organizations,more than 500,113,290,113369,3348867,13051843
813110,Religious Organizations,total,183083,183411,1685741,32978999,128971324
813211,Grantmaking Foundations,fewer than 20,10090,10127,31664,1732398,23516948
813211,Grantmaking Foundations,20 to 99,595,735,21382,1331781,19091220
813211,Grantmaking Foundations,100 to 499,147,268,17575,953063,11550087
813211,Grantmaking Foundations,more than 500,134,519,22575,1015507,0
813211,Grantmaking Foundations,total,10966,11649,93196,5032749,64251744
813212,Voluntary Health Organizations,fewer than 20,2520,2554,10110,478490,2519646
813212,Voluntary Health Organizations,20 to 99,253,466,9339,491103,4561624
813212,Voluntary Health Organizations,100 to 499,47,169,5717,352892,1713604
813212,Voluntary Health Organizations,more than 500,155,1040,27092,1675465,7758496
813212,Voluntary Health Organizations,total,2975,4229,52258,2997950,16553370
813219,Other Grantmaking and Giving Services,fewer than 20,2840,2847,10123,399401,3297806
813219,Other Grantmaking and Giving Services,20 to 99,267,342,9986,440978,3625338
813219,Other Grantmaking and Giving Services,100 to 499,61,160,8812,473835,3923299
813219,Other Grantmaking and Giving Services,more than 500,16,16,928,31724,321527
813219,Other Grantmaking and Giving Services,total,3184,3365,29849,1345938,11167970
813311,Human Rights Organizations,fewer than 20,2332,2369,10460,440327,1279407
813311,Human Rights Organizations,20 to 99,243,388,8241,385860,2583532
813311,Human Rights Organizations,100 to 499,53,249,7178,385359,1862025
813311,Human Rights Organizations,more than 500,21,216,7974,471327,2879185
813311,Human Rights Organizations,total,2649,3222,33853,1682873,8604149
813312,"Environment, Conservation and Wildlife Organizations",fewer than 20,5147,5179,23857,768214,2704088
813312,"Environment, Conservation and Wildlife Organizations",20 to 99,566,775,21267,727706,2481732
813312,"Environment, Conservation and Wildlife Organizations",100 to 499,64,301,11182,563861,2024541
813312,"Environment, Conservation and Wildlife Organizations",more than 500,12,790,0,0,0
813312,"Environment, Conservation and Wildlife Organizations",total,5789,7045,64625,2480609,8834072
813319,Other Social Advocacy Organizations,fewer than 20,5585,5634,21246,852060,2941955
813319,Other Social Advocacy Organizations,20 to 99,394,522,14465,657313,2038769
813319,Other Social Advocacy Organizations,100 to 499,84,299,8707,415558,1788870
813319,Other Social Advocacy Organizations,more than 500,33,197,0,238320,587517
813319,Other Social Advocacy Organizations,total,6096,6652,50736,2163251,7357111
813410,Civic and Social Organizations,fewer than 20,22514,22663,102725,1625642,7844033
813410,Civic and Social Organizations,20 to 99,1773,2617,65505,1545836,4499407
813410,Civic and Social Organizations,100 to 499,333,940,46044,1104343,3076852
813410,Civic and Social Organizations,more than 500,67,333,27017,447285,1096880
813410,Civic and Social Organizations,total,24687,26553,241291,4723106,16517172
813910,Business Associations,fewer than 20,14763,14863,52115,2748210,8721505
813910,Business Associations,20 to 99,895,1151,32237,2478423,8161512
813910,Business Associations,100 to 499,116,320,15963,1554264,4975581
813910,Business Associations,more than 500,34,66,9148,559590,1772694
813910,Business Associations,total,15808,16400,109463,7340487,23631292
813920,Professional Organizations,fewer than 20,5835,5850,23019,1279343,4515411
813920,Professional Organizations,20 to 99,591,680,24107,1628726,5513180
813920,Professional Organizations,100 to 499,132,343,22772,1713876,5514593
813920,Professional Organizations,more than 500,24,140,14147,1351887,3540107
813920,Professional Organizations,total,6582,7013,84045,5973832,19083291
813930,Labor Unions and Similar Labor Organizations,fewer than 20,12275,12355,69085,1602713,5478708
813930,Labor Unions and Similar Labor Organizations,20 to 99,1310,1562,47976,1526775,4696726
813930,Labor Unions and Similar Labor Organizations,100 to 499,134,441,25059,1334134,4205306
813930,Labor Unions and Similar Labor Organizations,more than 500,21,197,12491,730599,2300462
813930,Labor Unions and Similar Labor Organizations,total,13740,14555,154611,5194221,16681202
813940,Political Organizations,fewer than 20,2380,2380,5924,303672,1050424
813940,Political Organizations,20 to 99,85,87,3284,157694,503930
813940,Political Organizations,100 to 499,8,9,1232,74757,259203
813940,Political Organizations,more than 500,3,3,2946,53884,189914
813940,Political Organizations,total,2476,2479,13386,590007,2003471
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)",fewer than 20,18890,18897,71834,2315270,10614402
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)",20 to 99,1154,1210,40150,1372956,6653178
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)",100 to 499,115,303,17424,828398,3393793
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)",more than 500,30,119,6812,469574,1831974
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)",total,20189,20529,136220,4986198,22493347
